Obs,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23
Z(HD 35715),-4.466144940088398,0.1213324759822798,1.1335259036331107,0.7604946041804979,0.05328795525479802,0.0621256112758812,-0.5268581613081376,-0.140642325407908,0.09603459536097868,0.10814846902507981,0.4510205281473569,-0.08596708644404631,0.09407378887351356,-0.04784448353330119,0.0754336134884877,0.17275454923588443,-0.032761546368484544,0.11950691727297286,-0.1617931728582933,0.07494780998343618,0.04698311234662729,-0.048730024379480666,0.018877333411041877
Z(HD 36822),-2.7231211990379585,0.047837675590074236,1.0792431931543296,0.7306892782720895,-0.10811266442520148,-0.5404491556376813,-0.43330511320749904,0.2452945852344065,-0.22345005393413714,-0.08833838665712586,-0.21755747791084135,-0.2697882863357817,0.051242151013245356,-0.07709292495822316,-0.19424431931863173,0.17105442298583723,-0.09609481493098701,-0.018907693995604172,0.10822408436459019,-0.007738607542854965,-0.03921409241981018,-0.060211187046387116,-0.015943257045645295
Z(HD 36861),-2.3724713018087265,1.5199073615827143,0.7641611645968569,0.6232801364835392,1.367856168716228,-0.7745688986072005,0.2775159795716021,-0.4533195198611243,-0.3013793915829935,-0.40765552521332876,-0.2870293176102916,0.19181394290266846,-0.02426105357341585,-0.18961936952882194,-0.15256808347566014,0.050514513798069455,0.09564757015129666,-0.004557549939907852,-0.05720242254212679,-0.05284052882515478,0.017115259181798653,-0.005347990568590206,0.031755983608327765
Z(HD 40111),-1.1537802929226295,-1.3075387516330685,1.583763221570321,0.9831027236053642,0.886572590475119,-0.4891609596594477,0.09698036525937229,1.2725290430183585,-0.06679738845457509,0.02354239112700372,-0.3357405359339201,0.047783926354626326,0.05704521468288289,0.24737591857602786,-0.023688161965657754,-0.044004090710809254,-0.1679831412936699,0.013152278077102295,0.08661195749583173,0.0884419360073202,0.015647898284646335,0.048136920554095235,0.009226017987154545
Z(HD 110432),1.4107919439203442,-0.2726644380869838,1.942146651628802,-1.379675470890507,-1.911406512019204,0.25837263900593205,0.3167056288246957,-0.52089702807155,-0.26550961583098137,-0.374645322000048,0.17474756142418404,-0.21747036617860063,-0.1275598354864557,0.2803204804766394,-0.13303544843685153,-0.06624909757178712,-0.1383081842876234,-0.028842892450028364,0.13611813297210157,-0.1041230841629355,0.01913650181313603,-0.02130341389903621,0.021872928532202036
Z(HD 144217),-1.267603231382953,-1.3433183230680494,1.3918620587728998,0.3436189418402151,-0.8302551742065825,0.1297877704739645,-0.2587665237938709,-0.10961249790210115,-0.16244925396329515,0.5369322895920156,0.08360582192043875,0.5014104622510324,-0.2677996161949832,-0.21420267972715115,-0.017583091239493524,-0.17347544973923304,-0.08887682552482191,-0.10582942554825424,0.05611009567293793,0.04466789298648946,0.04602201168283848,0.032634614367265835,0.0106244305803594
Z(HD 145502),0.12628933184124494,-1.0732891553711092,1.0571314311082065,0.4265272072107003,-0.22504760321630696,0.4085811895873021,0.053360337374502693,0.23440676992533424,0.0293071293629839,0.7476677473402227,-0.42740566910049005,-0.22901002312393823,0.21632653594242268,0.03996897184332686,-0.20928007739974705,-0.13506229298893102,-0.05979499579510816,0.11050106725976903,-0.09766778880826679,-0.06859622835441295,-0.06219629784150961,-0.07682307845519057,0.012713127913719334
Z(HD 147165),1.3602667761396088,-1.954357586938797,1.1223504491832652,1.1302129195953843,-0.7572952241656862,-0.22726662682258084,0.3066669536233219,-0.9573567580293533,0.029500014957016034,0.3987532029964744,-0.3413539903915475,0.1493257243684016,0.496485077312595,-0.1562273667278486,0.01492345361675133,-0.08955724886742389,0.1495210541784733,0.0018972075424279952,0.09885867439872122,0.07883213288512385,-0.0673427854008654,0.02463621138020286,-0.001045441897947586
Z(HD 147933),5.589214452947165,1.9300843505410876,1.1647562041223687,4.190968697282541,-1.7083312775585324,0.14051855242457664,0.07676014182670438,-0.025789502199388935,0.09562569705218471,-0.13530003709823973,-0.24601254002778003,0.11563622504621965,-0.25913684053301667,0.25178966775051503,0.10162772859633286,-0.03549240420484784,0.03944838899091256,0.009434888039781309,-0.05882003607860091,-0.026697358979832123,0.05023888007108063,-0.02221164401766512,-0.009504645401993856
Z(HD 149757),0.1128457287108368,1.9349177929063333,2.009181931174834,-1.0631596422514837,-0.3572571289367246,-0.19252352530559197,0.44560910553747746,-0.40106269215313956,0.7831581235049504,-0.19750860569619225,-0.2649870722390087,0.2421272404520392,-0.35566293366718393,-0.05105243192613052,0.03960080023881424,0.05217112461682029,-0.18221131985018363,0.04867590331596779,-0.05692372456418106,0.043689315791337856,-0.05118864472648139,0.02240444404434732,-0.005646298369568165
Z(HD 164284),-2.501858553813625,-0.2623186717973337,1.497193552550377,0.16086322296645672,-0.8535555985950827,-0.024521874131260436,-0.20551720804213805,0.2182815778621074,0.17678802023631407,-0.4571262543181921,-0.007914371187172352,-0.4929040498066568,-0.13092409721533238,-0.32875248382594474,-0.11841401004267714,-0.11536491651854974,0.07171364368313068,-0.23565496723127283,-0.055428781338278985,0.09371113250997509,-0.02818522858509083,-0.05196586642071669,-0.003091423419705838
Z(HD 170740),5.5521168894358235,-1.028678078269696,1.1506505615211566,-1.5370226148677182,-0.725682797889397,0.5931154269714133,-1.3423236451193419,0.09810266572836061,0.16928715915404113,-0.07169160844122427,-0.439925045220577,0.22811926175774064,0.2812678876399386,-0.13088189129286745,0.04019017883629035,0.04350046641682296,-0.05219276117322836,-0.009496965003856113,-0.07084318847111092,-0.030642094377914077,0.03289621598310499,0.02251320663708608,0.003231461283958854
Z(HD 198478),7.146364531643496,-2.8571993110356964,1.957211793934939,-0.3517830390859639,-0.474033140282462,-0.5954679055055446,0.055200969432675176,0.20933752940329664,-0.44129128822643543,-0.5717498056288892,0.2263791854030328,0.20755304381572928,0.12262865524540004,0.0027115564190360497,-0.18449437380386052,0.256872312284973,0.12319605386374273,0.05447939814149467,-0.04394684751812948,0.04350581917899714,0.02230834579568489,0.011100981500563278,-0.0029378811386344596
Z(HD 202904),-3.4547993729812156,-0.557700451492055,1.4016449108155682,0.7650553807378481,0.9932241066976729,0.22927554472086592,-0.5646374382467293,-0.2361061651626349,0.1462794504663924,-0.8025601126629108,0.2970881363944815,0.008778617605102446,0.37659534132150363,0.4033635306820261,0.1569333112856542,-0.28352578239200454,0.009569140411650271,0.05742103009196886,0.041991044229725,-0.01758281528886746,-0.053426666356282376,0.003972076729223421,-0.0025290575966205636
Z(HD 207198),11.31560803553023,1.8171336580872417,-0.5985802934788051,1.354252074405404,1.1789400096249587,-0.22977229263267826,-0.4529123621726551,-0.23504948991177213,0.2831888012095684,0.16854765163830623,0.5632259690173743,-0.3736579032455505,0.16203954533393922,-0.25201072832755383,-0.030357334916369917,0.044472882709816544,-0.1629693015959652,-0.03727344764818139,0.07948864846109642,0.00040787236650455743,-0.025358507721878802,0.015064988306088824,0.00997219795143813
Z(HD 209975),4.305437095741246,-2.4614941747798795,0.3297950946608268,-0.8368909657689111,1.6068617189992145,-0.959673944419129,-0.39304551958431055,-0.11355748461454318,0.7472748061309453,0.28838366761549294,-0.08721208344849779,0.022286927784189597,-0.42000610276396133,0.23308285281055638,0.06982256674900399,-0.1790521877074416,0.14356007467755283,-0.022068128004367797,0.04908307209662593,-0.027101981456585936,0.04128539360970294,-0.07463643260771743,0.0025592493539055394
Z(HD 214680),-3.028299940460214,0.2761987204713505,1.1204753676525543,0.472056265131198,1.3582701050640986,-0.5934641026791729,-0.059681589044593815,-0.41563487552046596,0.3307587230537503,-0.11269391543514393,-0.32011026105592916,0.2459693149340314,0.18713847231735048,-0.13644695684223407,-0.035246953537565545,0.16406675426545886,-0.15596315674904396,-0.03950769061721929,-0.010362167848523143,-0.09714036426234768,0.010666688715651934,0.0014194156619646975,-0.01399923804982467
Z(HD 214993),-3.1538564997957494,-0.11798658584342057,1.3865864778931782,0.4591397173299044,0.0665740882081116,-0.004182818020348041,-0.588902776434245,0.04705597662966813,-0.43162570446197784,0.2847721120780626,0.00166336431673,0.014070213678938391,-0.1702694203814796,0.07811614816013056,0.46717727164391587,0.27293927967773657,0.060322139067551836,-0.13608396185151472,0.022813414353811692,-0.07750951550015801,-0.06731747433913346,0.011273640221178445,0.010329800256741161
Z(HD 218376),0.5266060974202149,-1.1794335247205714,1.2559413897078788,-0.2314847274222171,0.9513014959272622,0.5089002062497727,-0.41061165860723736,-0.425667687351343,-0.1698392989523035,-0.27263667354639,-0.18675814911141608,-0.2756231803844054,-0.377521650959725,-0.1615665501296629,0.02082538099852055,-0.17754099814520474,-0.02488163047833318,0.08528630102792822,-0.06632212359675597,0.0337259940048219,-0.010213215683262684,0.03430125867077045,-0.013199015806885386
